template_text,bloom_verb
Differentiate between [MASK] and [MASK],Differentiate
List the differences between [MASK] and [MASK],List
Understand [MASK],Understand
Understand how [MASK] work,Understand
Describe [MASK] as a [MASK],Describe
Identify [MASK] as [MASK],Identify
Comprehend and apply [MASK],Comprehend
Develop the meaning of [MASK],Develop
Develop the concept of [MASK],Develop
Develop the definition of [MASK],Develop
Develop the definition of [MASK] and [MASK],Develop
Distinguish between [MASK] and [MASK],Distinguish
Identify the devices to measure [MASK],Identify
Observe the properties of [MASK],Observe
Observe the properties of [MASK] and [MASK],Observe
Define and describe [MASK],Define
Measure [MASK] using devices,Measure
Compare [MASK] and [MASK],Compare
Define and calculate the [MASK] of [MASK],Define
Use [MASK] to calculate the [MASK],Use
Define the term [MASK],Define
Define [MASK],Define
Classify types of [MASK],Classify
Discuss the term [MASK],Discuss
Evolve the definition of [MASK],Evolve
Discover the properties of [MASK],Discover
Identify the causes of [MASK],Identify
Infer the application of [MASK],Infer
Conceptualize the meaning of [MASK],Conceptualize
Understand the process of [MASK],Understand
Understand the principle of [MASK],Understand
Summarize the roles of [MASK],Summarize
Summarize the main function of [MASK],Summarize
List the application of [MASK],List
List the properties of [MASK],List
List the properties of [MASK] and [MASK],List
List types of [MASK],List
Interpret the meaning of [MASK],Interpret
Recall [MASK] and list the important properties,Recall
Apply the [MASK] and [MASK], Apply
Apply [MASK] to determine the [MASK], Apply
Relate [MASK] and [MASK],Relate
Relate [MASK] to [MASK], Relate
Explain the terms in [MASK],Explain
Show that [MASK] is a [MASK] of [MASK],Show
Explain the [MASK] of [MASK] from [MASK],Explain
